Atom	2.4	-3.6	1.9
Atom	-1.6	-2.6	-3.1
Atom	0.9	1.1	-3.3
Atom	-0.0	-3.5	3.1
Atom	-1.0	1.7	2.9
Atom	1.6	2.7	3.1
Atom	-0.7	1.9	-1.4
Atom	0.0	3.6	-3.1
Atom	-3.1	1.1	-1.3
Atom	1.8	-1.7	3.7
Atom	-1.9	-2.6	1.3
Atom	3.0	1.6	0.9
Atom	0.8	0.6	4.6
Atom	1.0	-1.6	-3.0
Atom	-2.1	-4.1	-0.9
Atom	0.2	-4.3	0.5
Atom	-0.4	-2.1	-0.8
Atom	-1.8	1.7	-3.7
Atom	1.9	2.7	-1.4
Atom	3.1	-1.1	1.3
Atom	-2.4	3.6	-1.9
Atom	0.4	2.2	0.8
Atom	-1.3	0.0	0.6
Atom	2.0	4.2	0.9
Atom	-3.2	-0.5	-3.4
Atom	0.4	-4.2	-2.2
Atom	1.3	0.0	-0.7
Atom	-0.8	-0.6	-4.6
Atom	-3.0	-1.6	-1.0
Atom	-0.2	4.4	-0.6
Atom	0.6	-1.8	1.3
Atom	-2.2	2.8	0.6
Atom	3.2	0.6	3.4
Atom	2.1	-2.7	-0.7
Atom	-0.4	4.2	2.1
Atom	-0.9	-1.0	3.2
Atom	1.1	0.3	2.1
Atom	-1.1	-0.2	-2.1
