# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu38	-104.835824	-104.835824	0.000000	3
Pt1Cu37	-107.142399	-107.142399	0.000000	3
Pt2Cu36	-109.465101	-109.465101	0.000000	3
Pt3Cu35	-111.800933	-111.800933	0.000000	3
Pt4Cu34	-114.151245	-114.149942	0.001842	3
Pt5Cu33	-116.574393	-116.521547	0.039438	3
Pt6Cu32	-118.874838	-118.874838	0.000000	3
Pt7Cu31	-121.166290	-121.166290	0.000000	3
Pt8Cu30	-123.510424	-123.510424	0.000000	3
Pt9Cu29	-125.853808	-125.852715	0.001546	3
Pt10Cu28	-128.207552	-128.205271	0.003226	3
Pt11Cu27	-130.549434	-130.549434	0.000000	3
Pt12Cu26	-132.890564	-132.890564	0.000000	3
Pt13Cu25	-135.229518	-135.229518	0.000000	3
Pt14Cu24	-137.567786	-137.485377	0.116543	3
Pt15Cu23	-139.655433	-139.420420	0.332358	3
Pt16Cu22	-141.802008	-141.802008	0.000000	3
Pt17Cu21	-143.943613	-143.837625	0.149889	3
Pt18Cu20	-146.136701	-146.117422	0.027265	3
Pt19Cu19	-148.263890	-148.155909	0.127563	3
Pt20Cu18	-150.401483	-150.240245	0.198461	3
Pt21Cu17	-152.545854	-152.299136	0.175436	3
Pt22Cu16	-154.704450	-154.562866	0.185165	3
Pt23Cu15	-156.841976	-156.832334	0.013179	3
Pt24Cu14	-158.929371	-158.921943	0.006152	3
Pt25Cu13	-161.144477	-160.983616	0.175923	3
Pt26Cu12	-163.328295	-163.121830	0.180947	3
Pt27Cu11	-165.475574	-165.406417	0.049532	3
Pt28Cu10	-167.653524	-167.624179	0.021692	3
Pt29Cu9	-169.800428	-169.679703	0.170732	3
Pt30Cu8	-171.938805	-171.883868	0.072552	3
Pt31Cu7	-174.105362	-174.075159	0.023842	3
Pt32Cu6	-176.277536	-176.277536	0.000000	3
Pt33Cu5	-178.453851	-178.408789	0.035380	3
Pt34Cu4	-180.634039	-180.634039	0.000000	3
Pt35Cu3	-182.753861	-182.753861	0.000000	3
Pt36Cu2	-184.928586	-184.928586	0.000000	3
Pt37Cu1	-187.099379	-187.099379	0.000000	3
Pt38Cu0	-189.318520	-189.318520	0.000000	3

# Global Best: Pt38Cu0 with energy -189.318520 eV
