# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu23	-62.356122	-62.356122	0.000000	3
Pt1Cu22	-65.739476	-65.739476	0.000000	3
Pt2Cu21	-69.316374	-69.316374	0.000000	3
Pt3Cu20	-72.478252	-72.478252	0.000000	3
Pt4Cu19	-75.092493	-75.092493	0.000000	3
Pt5Cu18	-77.686036	-77.680700	0.007546	3
Pt6Cu17	-80.159134	-80.159134	0.000000	3
Pt7Cu16	-82.720966	-82.720966	0.000000	3
Pt8Cu15	-85.194203	-85.194203	0.000000	3
Pt9Cu14	-87.654905	-87.611754	0.030513	3
Pt10Cu13	-90.044293	-89.982466	0.087437	3
Pt11Cu12	-92.208514	-92.180498	0.039620	3
Pt12Cu11	-94.323706	-94.302941	0.029366	3
Pt13Cu10	-96.476867	-96.468291	0.012128	3
Pt14Cu9	-98.691898	-98.691898	0.000000	3
Pt15Cu8	-100.960401	-100.960401	0.000000	3
Pt16Cu7	-103.156316	-103.156316	0.000000	3
Pt17Cu6	-105.367671	-105.367671	0.000000	3
Pt18Cu5	-107.520516	-107.518197	0.003279	3
Pt19Cu4	-109.717901	-109.717901	0.000000	3
Pt20Cu3	-111.889611	-111.889611	0.000000	3
Pt21Cu2	-114.047159	-114.047159	0.000000	3
Pt22Cu1	-116.158763	-116.158763	0.000000	3
Pt23Cu0	-118.284939	-118.284939	0.000000	3

# Global Best: Pt23Cu0 with energy -118.284939 eV
