38
Pt17Cu21  -153.9246697
Pt	0.9231607135	2.791146675	1.470522416
Pt	-2.376877554	-1.468214731	1.718206815
Pt	-1.769987897	-0.4039663223	-0.6735024386
Pt	1.07252205	-0.7286404275	2.995976552
Pt	-1.334259313	-0.4736221584	3.84174754
Pt	-0.1066526325	1.741097422	-0.8016944111
Pt	0.08732284111	-1.782174592	0.7494555183
Pt	1.75774768	0.3539128293	0.6330960072
Pt	3.308210367	2.452402704	0.4831683748
Pt	2.403414087	1.452350296	-1.74873804
Pt	2.539245068	-2.022884346	-0.2315952824
Pt	0.7431843938	-0.6910242938	-1.652942848
Pt	-1.095707119	0.6611448023	-3.004818235
Pt	-0.7531437576	0.6684129696	1.598053451
Pt	-0.8986255124	-2.760166093	-1.506746205
Pt	1.562458083	3.753825318	-0.8638388208
Pt	-2.560081	1.984519583	0.1768502896
Cu	-2.666372146	-1.410941008	-2.860472539
Cu	0.5336014412	2.740289656	-3.085458447
Cu	1.529923157	-3.011407537	-2.419508314
Cu	3.470485101	-1.000177333	1.980953254
Cu	4.135219403	0.07325466709	-0.3280205346
Cu	3.148040932	-0.9355392696	-2.514046465
Cu	-1.53575169	2.996425897	2.344616828
Cu	0.2429948185	1.639481965	3.764155251
Cu	-1.533512731	-3.772882615	0.8054543542
Cu	-3.494333523	0.9380058038	-2.017262758
Cu	-0.9074034872	4.038219492	0.04641140355
Cu	-3.299184561	-2.452920493	-0.5274318147
Cu	1.334951778	0.404244229	-3.895536814
Cu	-0.5402728995	-2.810238468	3.044748008
Cu	-0.2731664243	-1.679463194	-3.793908801
Cu	1.894336494	-3.037217964	2.075755022
Cu	-4.11183462	-0.09492817559	0.3305312624
Cu	2.67180547	1.370239712	2.818043639
Cu	-3.145446846	0.9144409871	2.520822161
Cu	-1.916842732	2.978272502	-2.143535879
Cu	0.90533748	-4.049150686	-0.139853516
