# Generation	Energy	Composition
1	-50.70268584	Pt11Cu2
2	-50.70268584	Pt11Cu2
3	-50.70268584	Pt11Cu2
4	-50.70268584	Pt11Cu2
5	-50.70268584	Pt11Cu2
6	-50.70268584	Pt11Cu2
7	-50.70268584	Pt11Cu2
8	-50.70268584	Pt11Cu2
9	-50.70268584	Pt11Cu2
10	-50.70268584	Pt11Cu2
11	-50.70268584	Pt11Cu2
12	-50.70268584	Pt11Cu2
13	-50.70268584	Pt11Cu2
14	-50.70268584	Pt11Cu2
15	-50.70268584	Pt11Cu2
16	-50.70268584	Pt11Cu2
17	-50.70268584	Pt11Cu2
18	-50.70268584	Pt11Cu2
19	-50.70268584	Pt11Cu2
20	-50.70268584	Pt11Cu2
21	-50.70268584	Pt11Cu2
22	-50.70268584	Pt11Cu2
23	-50.70268584	Pt11Cu2
24	-50.70268584	Pt11Cu2
25	-50.70268584	Pt11Cu2
26	-50.70268584	Pt11Cu2
27	-50.70268584	Pt11Cu2
28	-50.70268584	Pt11Cu2
29	-50.70268584	Pt11Cu2
30	-50.70268584	Pt11Cu2
31	-50.70268584	Pt11Cu2
32	-50.70268584	Pt11Cu2
33	-50.70268584	Pt11Cu2
34	-50.70268584	Pt11Cu2
35	-50.70268584	Pt11Cu2
36	-50.70268584	Pt11Cu2
37	-50.70268584	Pt11Cu2
38	-50.70268584	Pt11Cu2
39	-50.70268584	Pt11Cu2
40	-50.70268584	Pt11Cu2
41	-50.70268584	Pt11Cu2
42	-50.70268584	Pt11Cu2
43	-50.70268584	Pt11Cu2
44	-50.70268584	Pt11Cu2
45	-50.70268584	Pt11Cu2
46	-50.70268584	Pt11Cu2
47	-50.70268584	Pt11Cu2
48	-50.70268584	Pt11Cu2
49	-50.70268584	Pt11Cu2
50	-50.70268584	Pt11Cu2
51	-50.70268584	Pt11Cu2
52	-50.70268584	Pt11Cu2
53	-50.70268584	Pt11Cu2
54	-50.70268584	Pt11Cu2
55	-50.70268584	Pt11Cu2
56	-50.70268584	Pt11Cu2
57	-50.70268584	Pt11Cu2
58	-50.70268584	Pt11Cu2
59	-50.70268584	Pt11Cu2
60	-50.70268584	Pt11Cu2
61	-50.70268584	Pt11Cu2
62	-50.70268584	Pt11Cu2
63	-50.70268584	Pt11Cu2
64	-50.70268584	Pt11Cu2
65	-50.70268584	Pt11Cu2
66	-50.70268584	Pt11Cu2
67	-50.70268584	Pt11Cu2
68	-50.70268584	Pt11Cu2
69	-50.70268584	Pt11Cu2
70	-50.70268584	Pt11Cu2
71	-50.70268584	Pt11Cu2
72	-50.70268584	Pt11Cu2
73	-50.70268584	Pt11Cu2
74	-50.70268584	Pt11Cu2
75	-50.70268584	Pt11Cu2
76	-50.70268584	Pt11Cu2
77	-50.70268584	Pt11Cu2
78	-50.70268584	Pt11Cu2
79	-50.70268584	Pt11Cu2
80	-50.70268584	Pt11Cu2
81	-50.70268584	Pt11Cu2
82	-50.70268584	Pt11Cu2
83	-50.70268584	Pt11Cu2
84	-50.70268584	Pt11Cu2
85	-50.70268584	Pt11Cu2
86	-50.70268584	Pt11Cu2
87	-50.70268584	Pt11Cu2
88	-50.70268584	Pt11Cu2
89	-50.70268584	Pt11Cu2
90	-50.70268584	Pt11Cu2
91	-50.70268584	Pt11Cu2
92	-50.70268584	Pt11Cu2
93	-50.70268584	Pt11Cu2
94	-50.70268584	Pt11Cu2
95	-50.70268584	Pt11Cu2
96	-50.70268584	Pt11Cu2
97	-50.70268584	Pt11Cu2
98	-50.70268584	Pt11Cu2
99	-50.70268584	Pt11Cu2
100	-50.70268584	Pt11Cu2
