# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu13	-43.719316	-43.719316	0.000000	3
Pt1Cu12	-44.408533	-44.408533	0.000000	3
Pt2Cu11	-45.004970	-45.004970	0.000000	3
Pt3Cu10	-45.624174	-45.624174	0.000000	3
Pt4Cu9	-46.264293	-46.264293	0.000000	3
Pt5Cu8	-46.898152	-46.898152	0.000000	3
Pt6Cu7	-47.526384	-47.526384	0.000000	3
Pt7Cu6	-48.175409	-48.175409	0.000000	3
Pt8Cu5	-48.795155	-48.795155	0.000000	3
Pt9Cu4	-49.436023	-49.436023	0.000000	3
Pt10Cu3	-50.071698	-50.071698	0.000000	3
Pt11Cu2	-50.702686	-50.702686	0.000000	3
Pt12Cu1	-51.354547	-51.354547	0.000000	3
Pt13Cu0	-52.025767	-52.025767	0.000000	3

# Global Best: Pt13Cu0 with energy -52.025767 eV
