# Generation	Energy	Composition
1	-149.3988112	Pt10Cu28
2	-149.3988112	Pt10Cu28
3	-149.6448582	Pt10Cu28
4	-149.6448582	Pt10Cu28
5	-149.6448582	Pt10Cu28
6	-149.6448582	Pt10Cu28
7	-149.6448582	Pt10Cu28
8	-149.8829857	Pt10Cu28
9	-149.8829857	Pt10Cu28
10	-149.8829857	Pt10Cu28
11	-149.8829857	Pt10Cu28
12	-149.8829857	Pt10Cu28
13	-149.8829857	Pt10Cu28
14	-149.8829857	Pt10Cu28
15	-149.9278655	Pt10Cu28
16	-149.9496295	Pt10Cu28
17	-149.9496295	Pt10Cu28
18	-150.0378765	Pt10Cu28
19	-150.1601701	Pt10Cu28
20	-150.3662664	Pt10Cu28
21	-150.4629942	Pt10Cu28
22	-150.4629942	Pt10Cu28
23	-150.4629942	Pt10Cu28
24	-150.5601409	Pt10Cu28
25	-150.5601409	Pt10Cu28
26	-150.5601409	Pt10Cu28
27	-150.7725423	Pt10Cu28
28	-150.7725423	Pt10Cu28
29	-150.7725423	Pt10Cu28
30	-150.7725423	Pt10Cu28
31	-150.7975905	Pt10Cu28
32	-150.7975905	Pt10Cu28
33	-150.7975905	Pt10Cu28
34	-150.8542339	Pt10Cu28
35	-150.8542339	Pt10Cu28
36	-150.8542339	Pt10Cu28
37	-150.8542339	Pt10Cu28
38	-150.8542339	Pt10Cu28
39	-150.8542339	Pt10Cu28
40	-150.8542339	Pt10Cu28
41	-150.8542339	Pt10Cu28
42	-150.891682	Pt10Cu28
43	-150.891682	Pt10Cu28
44	-150.891682	Pt10Cu28
45	-150.9082221	Pt10Cu28
46	-150.9082221	Pt10Cu28
47	-151.0014172	Pt10Cu28
48	-151.0014172	Pt10Cu28
49	-151.0014172	Pt10Cu28
50	-151.0014172	Pt10Cu28
51	-151.0068924	Pt10Cu28
52	-151.020646	Pt10Cu28
53	-151.020646	Pt10Cu28
54	-151.020646	Pt10Cu28
55	-151.020646	Pt10Cu28
56	-151.0427221	Pt10Cu28
57	-151.0427221	Pt10Cu28
58	-151.0427221	Pt10Cu28
59	-151.0427221	Pt10Cu28
60	-151.0427221	Pt10Cu28
61	-151.0427221	Pt10Cu28
62	-151.0427221	Pt10Cu28
63	-151.1079131	Pt10Cu28
64	-151.1079131	Pt10Cu28
65	-151.1079131	Pt10Cu28
66	-151.1079131	Pt10Cu28
67	-151.1079131	Pt10Cu28
68	-151.1079131	Pt10Cu28
69	-151.1079131	Pt10Cu28
70	-151.1079131	Pt10Cu28
71	-151.1079131	Pt10Cu28
72	-151.1079131	Pt10Cu28
73	-151.1079131	Pt10Cu28
74	-151.1079131	Pt10Cu28
75	-151.1079131	Pt10Cu28
76	-151.1079131	Pt10Cu28
77	-151.1079131	Pt10Cu28
78	-151.1079131	Pt10Cu28
79	-151.1079131	Pt10Cu28
80	-151.1079131	Pt10Cu28
81	-151.1079131	Pt10Cu28
82	-151.1079131	Pt10Cu28
83	-151.1079131	Pt10Cu28
84	-151.1079131	Pt10Cu28
85	-151.1079131	Pt10Cu28
86	-151.1079131	Pt10Cu28
87	-151.1079131	Pt10Cu28
88	-151.1079131	Pt10Cu28
89	-151.1079131	Pt10Cu28
90	-151.1079131	Pt10Cu28
91	-151.1079131	Pt10Cu28
92	-151.1079131	Pt10Cu28
93	-151.1079131	Pt10Cu28
94	-151.1079131	Pt10Cu28
95	-151.1079131	Pt10Cu28
96	-151.1079131	Pt10Cu28
97	-151.1079131	Pt10Cu28
98	-151.1079131	Pt10Cu28
99	-151.1079131	Pt10Cu28
100	-151.1079131	Pt10Cu28
