# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu13	-2808.576507	-2808.576507	0.000000	3
Pt1Cu12	-2876.114866	-2876.114866	0.000000	3
Pt2Cu11	-2916.056017	-2916.056017	0.000000	3
Pt3Cu10	-2956.049229	-2956.049229	0.000000	3
Pt4Cu9	-2993.053487	-2993.053487	0.000000	3
Pt5Cu8	-3029.862257	-3029.862257	0.000000	3
Pt6Cu7	-3066.191281	-3066.191281	0.000000	3
Pt7Cu6	-3102.528650	-3102.528650	0.000000	3
Pt8Cu5	-3139.366418	-3139.366418	0.000000	3
Pt9Cu4	-3173.287668	-3173.287668	0.000000	3
Pt10Cu3	-3207.714142	-3207.714142	0.000000	3
Pt11Cu2	-3239.461023	-3239.461023	0.000000	3
Pt12Cu1	-3271.751417	-3271.751417	0.000000	3
Pt13Cu0	-3280.384264	-3280.384264	0.000000	3

# Global Best: Pt13Cu0 with energy -3280.384264 eV
