# Generation	Energy	Composition
1	-39.82865432	Pt2Cu11
2	-39.82865432	Pt2Cu11
3	-39.82865432	Pt2Cu11
4	-39.82865432	Pt2Cu11
5	-39.82865432	Pt2Cu11
6	-39.82865432	Pt2Cu11
7	-39.82865432	Pt2Cu11
8	-39.82865432	Pt2Cu11
9	-39.82865432	Pt2Cu11
10	-39.82865432	Pt2Cu11
11	-39.82865432	Pt2Cu11
12	-39.82865432	Pt2Cu11
13	-39.82865432	Pt2Cu11
14	-39.82865432	Pt2Cu11
15	-39.82865432	Pt2Cu11
16	-39.82865432	Pt2Cu11
17	-39.82865432	Pt2Cu11
18	-39.82865432	Pt2Cu11
19	-39.82865432	Pt2Cu11
20	-39.82865432	Pt2Cu11
21	-39.82865432	Pt2Cu11
22	-39.82865432	Pt2Cu11
23	-39.82865432	Pt2Cu11
24	-39.82865432	Pt2Cu11
25	-39.82865432	Pt2Cu11
26	-39.82865432	Pt2Cu11
27	-39.82865432	Pt2Cu11
28	-39.82865432	Pt2Cu11
29	-39.82865432	Pt2Cu11
30	-39.82865432	Pt2Cu11
31	-39.82865432	Pt2Cu11
32	-39.82865432	Pt2Cu11
33	-39.82865432	Pt2Cu11
34	-39.82865432	Pt2Cu11
35	-39.82865432	Pt2Cu11
36	-39.82865432	Pt2Cu11
37	-39.82865432	Pt2Cu11
38	-39.82865432	Pt2Cu11
39	-39.82865432	Pt2Cu11
40	-39.82865432	Pt2Cu11
41	-39.82865432	Pt2Cu11
42	-39.82865432	Pt2Cu11
43	-39.82865432	Pt2Cu11
44	-39.82865432	Pt2Cu11
45	-39.82865432	Pt2Cu11
46	-39.82865432	Pt2Cu11
47	-39.82865432	Pt2Cu11
48	-39.82865432	Pt2Cu11
49	-39.82865432	Pt2Cu11
50	-39.82865432	Pt2Cu11
51	-39.82865432	Pt2Cu11
52	-39.82865432	Pt2Cu11
53	-39.82865432	Pt2Cu11
54	-39.82865432	Pt2Cu11
55	-39.82865432	Pt2Cu11
56	-39.82865432	Pt2Cu11
57	-39.82865432	Pt2Cu11
58	-39.82865432	Pt2Cu11
59	-39.82865432	Pt2Cu11
60	-39.82865432	Pt2Cu11
61	-39.82865432	Pt2Cu11
62	-39.82865432	Pt2Cu11
63	-39.82865432	Pt2Cu11
64	-39.82865432	Pt2Cu11
65	-39.82865432	Pt2Cu11
66	-39.82865432	Pt2Cu11
67	-39.82865432	Pt2Cu11
68	-39.82865432	Pt2Cu11
69	-39.82865432	Pt2Cu11
70	-39.82865432	Pt2Cu11
71	-39.82865432	Pt2Cu11
72	-39.82865432	Pt2Cu11
73	-39.82865432	Pt2Cu11
74	-39.82865432	Pt2Cu11
75	-39.82865432	Pt2Cu11
76	-39.82865432	Pt2Cu11
77	-39.82865432	Pt2Cu11
78	-39.82865432	Pt2Cu11
79	-39.82865432	Pt2Cu11
80	-39.82865432	Pt2Cu11
81	-39.82865432	Pt2Cu11
82	-39.82865432	Pt2Cu11
83	-39.82865432	Pt2Cu11
84	-39.82865432	Pt2Cu11
85	-39.82865432	Pt2Cu11
86	-39.82865432	Pt2Cu11
87	-39.82865432	Pt2Cu11
88	-39.82865432	Pt2Cu11
89	-39.82865432	Pt2Cu11
90	-39.82865432	Pt2Cu11
91	-39.82865432	Pt2Cu11
92	-39.82865432	Pt2Cu11
93	-39.82865432	Pt2Cu11
94	-39.82865432	Pt2Cu11
95	-39.82865432	Pt2Cu11
96	-39.82865432	Pt2Cu11
97	-39.82865432	Pt2Cu11
98	-39.82865432	Pt2Cu11
99	-39.82865432	Pt2Cu11
100	-39.82865432	Pt2Cu11
