# Generation	Energy	Composition
1	-75.79836032	Pt7Cu16
2	-75.92177387	Pt7Cu16
3	-75.92177387	Pt7Cu16
4	-75.92177387	Pt7Cu16
5	-75.92177387	Pt7Cu16
6	-75.98450368	Pt7Cu16
7	-76.00391195	Pt7Cu16
8	-76.06360548	Pt7Cu16
9	-76.06360548	Pt7Cu16
10	-76.06360548	Pt7Cu16
11	-76.06360548	Pt7Cu16
12	-76.06360548	Pt7Cu16
13	-76.06360548	Pt7Cu16
14	-76.06360548	Pt7Cu16
15	-76.06360548	Pt7Cu16
16	-76.06360548	Pt7Cu16
17	-76.06360548	Pt7Cu16
18	-76.06360548	Pt7Cu16
19	-76.06360548	Pt7Cu16
20	-76.06360548	Pt7Cu16
21	-76.06360548	Pt7Cu16
22	-76.06360548	Pt7Cu16
23	-76.06360548	Pt7Cu16
24	-76.06360548	Pt7Cu16
25	-76.06360548	Pt7Cu16
26	-76.06360548	Pt7Cu16
27	-76.06360548	Pt7Cu16
28	-76.06360548	Pt7Cu16
29	-76.06360548	Pt7Cu16
30	-76.06360548	Pt7Cu16
31	-76.06360548	Pt7Cu16
32	-76.06360548	Pt7Cu16
33	-76.06360548	Pt7Cu16
34	-76.06360548	Pt7Cu16
35	-76.06360548	Pt7Cu16
36	-76.06360548	Pt7Cu16
37	-76.06360548	Pt7Cu16
38	-76.06360548	Pt7Cu16
39	-76.06360548	Pt7Cu16
40	-76.06360548	Pt7Cu16
41	-76.06360548	Pt7Cu16
42	-76.06360548	Pt7Cu16
43	-76.06360548	Pt7Cu16
44	-76.06360548	Pt7Cu16
45	-76.06360548	Pt7Cu16
46	-76.06360548	Pt7Cu16
47	-76.06360548	Pt7Cu16
48	-76.06360548	Pt7Cu16
49	-76.06360548	Pt7Cu16
50	-76.06360548	Pt7Cu16
51	-76.06360548	Pt7Cu16
52	-76.06360548	Pt7Cu16
53	-76.06360548	Pt7Cu16
54	-76.06360548	Pt7Cu16
55	-76.06360548	Pt7Cu16
56	-76.06360548	Pt7Cu16
57	-76.06360548	Pt7Cu16
58	-76.06360548	Pt7Cu16
59	-76.06360548	Pt7Cu16
60	-76.06360548	Pt7Cu16
61	-76.06360548	Pt7Cu16
62	-76.06360548	Pt7Cu16
63	-76.06360548	Pt7Cu16
64	-76.06360548	Pt7Cu16
65	-76.06360548	Pt7Cu16
66	-76.06360548	Pt7Cu16
67	-76.06360548	Pt7Cu16
68	-76.06360548	Pt7Cu16
69	-76.06360548	Pt7Cu16
70	-76.06360548	Pt7Cu16
71	-76.06360548	Pt7Cu16
72	-76.06360548	Pt7Cu16
73	-76.06360548	Pt7Cu16
74	-76.06360548	Pt7Cu16
75	-76.06360548	Pt7Cu16
76	-76.06360548	Pt7Cu16
77	-76.06360548	Pt7Cu16
78	-76.06360548	Pt7Cu16
79	-76.06360548	Pt7Cu16
80	-76.06360548	Pt7Cu16
81	-76.06360548	Pt7Cu16
82	-76.06360548	Pt7Cu16
83	-76.06360548	Pt7Cu16
84	-76.06360548	Pt7Cu16
85	-76.06360548	Pt7Cu16
86	-76.06360548	Pt7Cu16
87	-76.06360548	Pt7Cu16
88	-76.06360548	Pt7Cu16
89	-76.06360548	Pt7Cu16
90	-76.06360548	Pt7Cu16
91	-76.06360548	Pt7Cu16
92	-76.06360548	Pt7Cu16
93	-76.06360548	Pt7Cu16
94	-76.06360548	Pt7Cu16
95	-76.06360548	Pt7Cu16
96	-76.06360548	Pt7Cu16
97	-76.06360548	Pt7Cu16
98	-76.06360548	Pt7Cu16
99	-76.06360548	Pt7Cu16
100	-76.06360548	Pt7Cu16
