# Generation	Energy	Composition
1	-69.13061191	Pt2Cu21
2	-69.25090194	Pt2Cu21
3	-69.25090194	Pt2Cu21
4	-69.25090194	Pt2Cu21
5	-69.25090194	Pt2Cu21
6	-69.25090194	Pt2Cu21
7	-69.31637432	Pt2Cu21
8	-69.31637432	Pt2Cu21
9	-69.31637432	Pt2Cu21
10	-69.31637432	Pt2Cu21
11	-69.31637432	Pt2Cu21
12	-69.31637432	Pt2Cu21
13	-69.31637432	Pt2Cu21
14	-69.31637432	Pt2Cu21
15	-69.31637432	Pt2Cu21
16	-69.31637432	Pt2Cu21
17	-69.31637432	Pt2Cu21
18	-69.31637432	Pt2Cu21
19	-69.31637432	Pt2Cu21
20	-69.31637432	Pt2Cu21
21	-69.31637432	Pt2Cu21
22	-69.31637432	Pt2Cu21
23	-69.31637432	Pt2Cu21
24	-69.31637432	Pt2Cu21
25	-69.31637432	Pt2Cu21
26	-69.31637432	Pt2Cu21
27	-69.31637432	Pt2Cu21
28	-69.31637432	Pt2Cu21
29	-69.31637432	Pt2Cu21
30	-69.31637432	Pt2Cu21
31	-69.31637433	Pt2Cu21
32	-69.31637433	Pt2Cu21
33	-69.31637433	Pt2Cu21
34	-69.31637433	Pt2Cu21
35	-69.31637433	Pt2Cu21
36	-69.31637433	Pt2Cu21
37	-69.31637433	Pt2Cu21
38	-69.31637433	Pt2Cu21
39	-69.31637433	Pt2Cu21
40	-69.31637433	Pt2Cu21
41	-69.31637433	Pt2Cu21
42	-69.31637433	Pt2Cu21
43	-69.31637433	Pt2Cu21
44	-69.31637433	Pt2Cu21
45	-69.31637433	Pt2Cu21
46	-69.31637433	Pt2Cu21
47	-69.31637433	Pt2Cu21
48	-69.31637433	Pt2Cu21
49	-69.31637433	Pt2Cu21
50	-69.31637433	Pt2Cu21
51	-69.31637433	Pt2Cu21
52	-69.31637433	Pt2Cu21
53	-69.31637433	Pt2Cu21
54	-69.31637433	Pt2Cu21
55	-69.31637433	Pt2Cu21
56	-69.31637433	Pt2Cu21
57	-69.31637433	Pt2Cu21
58	-69.31637433	Pt2Cu21
59	-69.31637433	Pt2Cu21
60	-69.31637433	Pt2Cu21
61	-69.31637433	Pt2Cu21
62	-69.31637433	Pt2Cu21
63	-69.31637433	Pt2Cu21
64	-69.31637433	Pt2Cu21
65	-69.31637433	Pt2Cu21
66	-69.31637433	Pt2Cu21
67	-69.31637433	Pt2Cu21
68	-69.31637433	Pt2Cu21
69	-69.31637433	Pt2Cu21
70	-69.31637433	Pt2Cu21
71	-69.31637433	Pt2Cu21
72	-69.31637433	Pt2Cu21
73	-69.31637433	Pt2Cu21
74	-69.31637433	Pt2Cu21
75	-69.31637433	Pt2Cu21
76	-69.31637433	Pt2Cu21
77	-69.31637433	Pt2Cu21
78	-69.31637433	Pt2Cu21
79	-69.31637433	Pt2Cu21
80	-69.31637433	Pt2Cu21
81	-69.31637433	Pt2Cu21
82	-69.31637433	Pt2Cu21
83	-69.31637433	Pt2Cu21
84	-69.31637433	Pt2Cu21
85	-69.31637433	Pt2Cu21
86	-69.31637433	Pt2Cu21
87	-69.31637433	Pt2Cu21
88	-69.31637433	Pt2Cu21
89	-69.31637433	Pt2Cu21
90	-69.31637433	Pt2Cu21
91	-69.31637433	Pt2Cu21
92	-69.31637433	Pt2Cu21
93	-69.31637433	Pt2Cu21
94	-69.31637433	Pt2Cu21
95	-69.31637433	Pt2Cu21
96	-69.31637433	Pt2Cu21
97	-69.31637433	Pt2Cu21
98	-69.31637433	Pt2Cu21
99	-69.31637433	Pt2Cu21
100	-69.31637433	Pt2Cu21
