# Generation	Energy	Composition
1	-43.71931598	Pt0Cu13
2	-43.71931598	Pt0Cu13
3	-43.71931598	Pt0Cu13
4	-43.71931598	Pt0Cu13
5	-43.71931598	Pt0Cu13
6	-43.71931598	Pt0Cu13
7	-43.71931598	Pt0Cu13
8	-43.71931598	Pt0Cu13
9	-43.71931598	Pt0Cu13
10	-43.71931598	Pt0Cu13
11	-43.71931598	Pt0Cu13
12	-43.71931598	Pt0Cu13
13	-43.71931598	Pt0Cu13
14	-43.71931598	Pt0Cu13
15	-43.71931598	Pt0Cu13
16	-43.71931598	Pt0Cu13
17	-43.71931598	Pt0Cu13
18	-43.71931598	Pt0Cu13
19	-43.71931598	Pt0Cu13
20	-43.71931598	Pt0Cu13
21	-43.71931598	Pt0Cu13
22	-43.71931598	Pt0Cu13
23	-43.71931598	Pt0Cu13
24	-43.71931598	Pt0Cu13
25	-43.71931598	Pt0Cu13
26	-43.71931598	Pt0Cu13
27	-43.71931598	Pt0Cu13
28	-43.71931598	Pt0Cu13
29	-43.71931598	Pt0Cu13
30	-43.71931598	Pt0Cu13
31	-43.71931598	Pt0Cu13
32	-43.71931598	Pt0Cu13
33	-43.71931598	Pt0Cu13
34	-43.71931598	Pt0Cu13
35	-43.71931598	Pt0Cu13
36	-43.71931598	Pt0Cu13
37	-43.71931598	Pt0Cu13
38	-43.71931598	Pt0Cu13
39	-43.71931598	Pt0Cu13
40	-43.71931598	Pt0Cu13
41	-43.71931598	Pt0Cu13
42	-43.71931598	Pt0Cu13
43	-43.71931598	Pt0Cu13
44	-43.71931598	Pt0Cu13
45	-43.71931598	Pt0Cu13
46	-43.71931598	Pt0Cu13
47	-43.71931598	Pt0Cu13
48	-43.71931598	Pt0Cu13
49	-43.71931598	Pt0Cu13
50	-43.71931598	Pt0Cu13
51	-43.71931598	Pt0Cu13
52	-43.71931598	Pt0Cu13
53	-43.71931598	Pt0Cu13
54	-43.71931598	Pt0Cu13
55	-43.71931598	Pt0Cu13
56	-43.71931598	Pt0Cu13
57	-43.71931598	Pt0Cu13
58	-43.71931598	Pt0Cu13
59	-43.71931598	Pt0Cu13
60	-43.71931598	Pt0Cu13
61	-43.71931598	Pt0Cu13
62	-43.71931598	Pt0Cu13
63	-43.71931598	Pt0Cu13
64	-43.71931598	Pt0Cu13
65	-43.71931598	Pt0Cu13
66	-43.71931598	Pt0Cu13
67	-43.71931598	Pt0Cu13
68	-43.71931598	Pt0Cu13
69	-43.71931598	Pt0Cu13
70	-43.71931598	Pt0Cu13
71	-43.71931598	Pt0Cu13
72	-43.71931598	Pt0Cu13
73	-43.71931598	Pt0Cu13
74	-43.71931598	Pt0Cu13
75	-43.71931598	Pt0Cu13
76	-43.71931598	Pt0Cu13
77	-43.71931598	Pt0Cu13
78	-43.71931598	Pt0Cu13
79	-43.71931598	Pt0Cu13
80	-43.71931598	Pt0Cu13
81	-43.71931598	Pt0Cu13
82	-43.71931598	Pt0Cu13
83	-43.71931598	Pt0Cu13
84	-43.71931598	Pt0Cu13
85	-43.71931598	Pt0Cu13
86	-43.71931598	Pt0Cu13
87	-43.71931598	Pt0Cu13
88	-43.71931598	Pt0Cu13
89	-43.71931598	Pt0Cu13
90	-43.71931598	Pt0Cu13
91	-43.71931598	Pt0Cu13
92	-43.71931598	Pt0Cu13
93	-43.71931598	Pt0Cu13
94	-43.71931598	Pt0Cu13
95	-43.71931598	Pt0Cu13
96	-43.71931598	Pt0Cu13
97	-43.71931598	Pt0Cu13
98	-43.71931598	Pt0Cu13
99	-43.71931598	Pt0Cu13
100	-43.71931598	Pt0Cu13
