# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu38	-142.371354	-142.240972	0.112634	3
Pt1Cu37	-143.267902	-143.220321	0.067290	3
Pt2Cu36	-144.472637	-144.256448	0.154840	3
Pt3Cu35	-145.595900	-145.376215	0.155341	3
Pt4Cu34	-146.426420	-146.228668	0.219803	3
Pt5Cu33	-147.328891	-147.128373	0.161325	3
Pt6Cu32	-147.915384	-147.824408	0.127357	3
Pt7Cu31	-148.881246	-148.707477	0.162908	3
Pt8Cu30	-149.521989	-149.482407	0.041413	3
Pt9Cu29	-150.513092	-150.224785	0.255730	3
Pt10Cu28	-151.273457	-151.184202	0.068202	3
Pt11Cu27	-151.758582	-151.628351	0.159476	3
Pt12Cu26	-152.866506	-152.604110	0.250347	3
Pt13Cu25	-153.683299	-153.583305	0.123590	3
Pt14Cu24	-154.214258	-154.095248	0.143498	3
Pt15Cu23	-155.039484	-154.940019	0.070399	3
Pt16Cu22	-155.739741	-155.648334	0.064668	3
Pt17Cu21	-156.655285	-156.349897	0.240717	3
Pt18Cu20	-157.402724	-157.308463	0.066715	3
Pt19Cu19	-158.302944	-158.054387	0.199405	3
Pt20Cu18	-159.205921	-158.909104	0.310671	3
Pt21Cu17	-159.881806	-159.668835	0.232073	3
Pt22Cu16	-160.541656	-160.291478	0.211601	3
Pt23Cu15	-161.628287	-161.398206	0.192135	3
Pt24Cu14	-162.107862	-162.057320	0.035882	3
Pt25Cu13	-163.142282	-162.926751	0.152997	3
Pt26Cu12	-163.546881	-163.218665	0.239172	3
Pt27Cu11	-164.322119	-164.103304	0.182973	3
Pt28Cu10	-164.919212	-164.792444	0.147721	3
Pt29Cu9	-165.388839	-165.371500	0.014147	3
Pt30Cu8	-166.449990	-166.151442	0.218444	3
Pt31Cu7	-166.713376	-166.577206	0.100746	3
Pt32Cu6	-167.857481	-167.475909	0.278324	3
Pt33Cu5	-167.993061	-167.967193	0.036582	3
Pt34Cu4	-169.104918	-169.021924	0.111707	3
Pt35Cu3	-169.718139	-169.505744	0.170910	3
Pt36Cu2	-170.153787	-169.983566	0.127068	3
Pt37Cu1	-170.762764	-170.623375	0.157806	3
Pt38Cu0	-171.420338	-171.300790	0.084533	3

# Global Best: Pt38Cu0 with energy -171.420338 eV
