# Composition	Best_Energy	Avg_Energy	Std_Dev	Runs
Pt0Cu38	-107.608781	-107.608781	0.000000	3
Pt1Cu37	-110.758891	-110.758891	0.000000	3
Pt2Cu36	-113.938075	-113.938075	0.000000	3
Pt3Cu35	-117.143691	-117.143691	0.000000	3
Pt4Cu34	-120.334279	-120.334279	0.000000	3
Pt5Cu33	-123.513393	-123.513393	0.000000	3
Pt6Cu32	-126.406526	-126.406526	0.000000	3
Pt7Cu31	-129.066642	-129.007877	0.041554	3
Pt8Cu30	-131.778359	-131.778359	0.000000	3
Pt9Cu29	-134.462734	-134.462734	0.000000	3
Pt10Cu28	-137.151915	-136.994490	0.222632	3
Pt11Cu27	-139.275374	-139.117611	0.169755	3
Pt12Cu26	-142.172993	-142.169955	0.004298	3
Pt13Cu25	-144.661722	-144.586631	0.106195	3
Pt14Cu24	-147.154040	-146.566924	0.417233	3
Pt15Cu23	-148.876826	-148.763739	0.094469	3
Pt16Cu22	-151.189683	-151.134817	0.048291	3
Pt17Cu21	-153.924670	-153.574690	0.247868	3
Pt18Cu20	-156.116530	-155.842778	0.193572	3
Pt19Cu19	-158.456027	-158.199863	0.194439	3
Pt20Cu18	-160.733276	-160.462067	0.195553	3
Pt21Cu17	-162.682763	-162.619107	0.060280	3
Pt22Cu16	-165.040938	-164.890361	0.120303	3
Pt23Cu15	-167.432862	-167.143971	0.204322	3
Pt24Cu14	-169.336612	-169.333164	0.004877	3
Pt25Cu13	-171.865268	-171.754382	0.138627	3
Pt26Cu12	-174.086117	-173.861157	0.159367	3
Pt27Cu11	-176.254195	-176.248562	0.006398	3
Pt28Cu10	-178.434678	-178.286751	0.111719	3
Pt29Cu9	-180.495078	-180.443262	0.073278	3
Pt30Cu8	-182.790097	-182.788651	0.002045	3
Pt31Cu7	-184.903023	-184.724050	0.130312	3
Pt32Cu6	-187.085746	-186.965552	0.103240	3
Pt33Cu5	-189.220476	-189.062938	0.111396	3
Pt34Cu4	-191.364071	-191.283419	0.110549	3
Pt35Cu3	-193.500331	-193.496534	0.005370	3
Pt36Cu2	-195.646622	-195.524799	0.086664	3
Pt37Cu1	-197.787722	-197.673991	0.080420	3
Pt38Cu0	-199.941854	-199.767934	0.123062	3

# Global Best: Pt38Cu0 with energy -199.941854 eV
