38
Pt24Cu14  -162.1078624
Pt	3.30583072	0.2516748335	-0.829475281
Pt	-0.06544801819	-2.934244358	0.3561873776
Pt	-1.264149266	2.750879715	-2.946768918
Pt	-2.583622881	-2.121756266	1.516240014
Pt	0.7531432658	-0.6244350867	-1.031153268
Pt	-0.1125624494	-2.687710622	-2.513670779
Pt	-0.7283630454	0.07633878982	-2.918049441
Pt	-1.888990969	0.1128888655	3.432234384
Pt	2.689554754	-1.098826263	3.693002725
Pt	2.514547403	-2.562852159	-0.9390985428
Pt	1.791780918	-1.021699909	1.203856234
Pt	0.7602117051	0.6740916249	2.881143404
Pt	-3.213422884	0.6083524382	0.7780549812
Pt	-2.748695459	-1.733179183	-3.310155262
Pt	0.1039475889	3.741742215	-0.4082602426
Pt	-1.197310773	2.368417297	1.774233273
Pt	1.150159337	1.46723191	0.4640481046
Pt	-0.0008084475417	-2.045706173	3.07260429
Pt	1.343263265	1.863624502	-2.223989752
Pt	-1.817936339	-1.143935325	-0.8920017916
Pt	3.396601741	1.12608389	1.961182654
Pt	-3.304278561	0.8498051517	-2.114232695
Pt	1.454941909	3.291185245	2.343241848
Pt	1.905751189	-0.7527205666	-3.354868151
Cu	-2.287653509	0.7222395802	-4.744800331
Cu	-0.3067853334	2.329053356	4.427424855
Cu	2.928757508	3.053217363	-0.1396012302
Cu	4.21212715	-1.516122442	1.217833983
Cu	0.4119278426	1.277070705	-4.794743019
Cu	-4.262945404	-1.507956172	-0.8116163858
Cu	-2.441146952	-3.541057285	-1.055808324
Cu	2.356376439	1.632821721	4.536858927
Cu	-0.4306858831	-1.331115945	-4.961719164
Cu	-1.053113928	1.372678467	-0.7356784035
Cu	-2.701792791	3.125055559	-0.5095573778
Cu	0.3922974591	-0.2196785729	5.182477147
Cu	-0.7437421989	-0.3223279236	1.170658342
Cu	2.280998822	-3.34907641	1.889617733
