# Generation	Energy	Composition
1	-154.8499054	Pt19Cu19
2	-155.0053309	Pt19Cu19
3	-155.0053309	Pt19Cu19
4	-155.0053309	Pt19Cu19
5	-155.4384066	Pt19Cu19
6	-155.7936415	Pt19Cu19
7	-156.3459409	Pt19Cu19
8	-156.3459409	Pt19Cu19
9	-156.3626277	Pt19Cu19
10	-156.3626277	Pt19Cu19
11	-156.3626277	Pt19Cu19
12	-156.3656423	Pt19Cu19
13	-156.3656423	Pt19Cu19
14	-156.4621873	Pt19Cu19
15	-156.4653216	Pt19Cu19
16	-156.4653216	Pt19Cu19
17	-156.4653216	Pt19Cu19
18	-156.4653216	Pt19Cu19
19	-156.4653216	Pt19Cu19
20	-156.6846486	Pt19Cu19
21	-156.720082	Pt19Cu19
22	-156.720082	Pt19Cu19
23	-156.8133568	Pt19Cu19
24	-156.8321932	Pt19Cu19
25	-156.8321932	Pt19Cu19
26	-156.8321932	Pt19Cu19
27	-157.005895	Pt19Cu19
28	-157.005895	Pt19Cu19
29	-157.005895	Pt19Cu19
30	-157.0670273	Pt19Cu19
31	-157.0670273	Pt19Cu19
32	-157.2468006	Pt19Cu19
33	-157.2468006	Pt19Cu19
34	-157.2468006	Pt19Cu19
35	-157.2468006	Pt19Cu19
36	-157.368672	Pt19Cu19
37	-157.368672	Pt19Cu19
38	-157.3725207	Pt19Cu19
39	-157.3725207	Pt19Cu19
40	-157.3725207	Pt19Cu19
41	-157.3889655	Pt19Cu19
42	-157.4153449	Pt19Cu19
43	-157.4153449	Pt19Cu19
44	-157.4878958	Pt19Cu19
45	-157.5401899	Pt19Cu19
46	-157.5401899	Pt19Cu19
47	-157.5401899	Pt19Cu19
48	-157.5401899	Pt19Cu19
49	-157.5401899	Pt19Cu19
50	-157.6586269	Pt19Cu19
51	-157.6586269	Pt19Cu19
52	-157.6586269	Pt19Cu19
53	-157.6611139	Pt19Cu19
54	-157.6611139	Pt19Cu19
55	-157.6611139	Pt19Cu19
56	-157.6611139	Pt19Cu19
57	-157.6611139	Pt19Cu19
58	-157.682407	Pt19Cu19
59	-157.682407	Pt19Cu19
60	-157.682407	Pt19Cu19
61	-157.7354511	Pt19Cu19
62	-157.7354511	Pt19Cu19
63	-157.7354511	Pt19Cu19
64	-157.7354511	Pt19Cu19
65	-157.7527933	Pt19Cu19
66	-157.7527933	Pt19Cu19
67	-157.7527933	Pt19Cu19
68	-157.7812101	Pt19Cu19
69	-157.7812101	Pt19Cu19
70	-157.7812101	Pt19Cu19
71	-157.7812101	Pt19Cu19
72	-157.7812101	Pt19Cu19
73	-157.7812101	Pt19Cu19
74	-157.8066152	Pt19Cu19
75	-157.8066153	Pt19Cu19
76	-157.8066153	Pt19Cu19
77	-157.8066153	Pt19Cu19
78	-157.8066153	Pt19Cu19
79	-157.8066153	Pt19Cu19
80	-157.8066153	Pt19Cu19
81	-157.8066153	Pt19Cu19
82	-157.8066153	Pt19Cu19
83	-157.8066153	Pt19Cu19
84	-157.8066153	Pt19Cu19
85	-157.8147463	Pt19Cu19
86	-157.8147463	Pt19Cu19
87	-157.8147463	Pt19Cu19
88	-157.8147463	Pt19Cu19
89	-157.8147463	Pt19Cu19
90	-157.8147463	Pt19Cu19
91	-157.8147463	Pt19Cu19
92	-157.8147463	Pt19Cu19
93	-157.8147463	Pt19Cu19
94	-157.8147463	Pt19Cu19
95	-157.8147463	Pt19Cu19
96	-157.8147463	Pt19Cu19
97	-157.8147463	Pt19Cu19
98	-157.8147463	Pt19Cu19
99	-157.8147463	Pt19Cu19
100	-157.8147463	Pt19Cu19
