# Generation	Energy	Composition
1	-159.970334	Pt25Cu13
2	-159.9963518	Pt25Cu13
3	-159.9963518	Pt25Cu13
4	-159.9963518	Pt25Cu13
5	-160.082552	Pt25Cu13
6	-160.1002183	Pt25Cu13
7	-160.2674875	Pt25Cu13
8	-160.2767537	Pt25Cu13
9	-160.2767537	Pt25Cu13
10	-160.2767537	Pt25Cu13
11	-160.2906006	Pt25Cu13
12	-160.2906006	Pt25Cu13
13	-160.2906006	Pt25Cu13
14	-160.2906006	Pt25Cu13
15	-160.2906006	Pt25Cu13
16	-160.2906006	Pt25Cu13
17	-160.2906006	Pt25Cu13
18	-160.2906006	Pt25Cu13
19	-160.2906006	Pt25Cu13
20	-160.2906006	Pt25Cu13
21	-160.3878983	Pt25Cu13
22	-160.3878983	Pt25Cu13
23	-160.3878983	Pt25Cu13
24	-160.4401916	Pt25Cu13
25	-160.4401916	Pt25Cu13
26	-160.4401916	Pt25Cu13
27	-160.5246701	Pt25Cu13
28	-160.5246701	Pt25Cu13
29	-160.5246701	Pt25Cu13
30	-160.5246701	Pt25Cu13
31	-160.5246701	Pt25Cu13
32	-160.5246701	Pt25Cu13
33	-160.5246701	Pt25Cu13
34	-160.5246701	Pt25Cu13
35	-160.5246701	Pt25Cu13
36	-160.6275696	Pt25Cu13
37	-160.6275696	Pt25Cu13
38	-160.6275696	Pt25Cu13
39	-160.6912751	Pt25Cu13
40	-160.6912751	Pt25Cu13
41	-160.6912751	Pt25Cu13
42	-160.6912751	Pt25Cu13
43	-160.6912751	Pt25Cu13
44	-160.6912751	Pt25Cu13
45	-160.6912751	Pt25Cu13
46	-160.6912751	Pt25Cu13
47	-160.6912751	Pt25Cu13
48	-160.6912751	Pt25Cu13
49	-160.6912751	Pt25Cu13
50	-160.6912751	Pt25Cu13
51	-160.6912751	Pt25Cu13
52	-160.6912751	Pt25Cu13
53	-160.6912751	Pt25Cu13
54	-160.6912751	Pt25Cu13
55	-160.6912751	Pt25Cu13
56	-160.6912751	Pt25Cu13
57	-160.6912751	Pt25Cu13
58	-160.6912751	Pt25Cu13
59	-160.7131201	Pt25Cu13
60	-160.7131201	Pt25Cu13
61	-160.7359808	Pt25Cu13
62	-160.7359808	Pt25Cu13
63	-160.7359808	Pt25Cu13
64	-160.7359808	Pt25Cu13
65	-160.7388199	Pt25Cu13
66	-160.7388199	Pt25Cu13
67	-160.7388199	Pt25Cu13
68	-160.7388199	Pt25Cu13
69	-160.7388199	Pt25Cu13
70	-160.7388199	Pt25Cu13
71	-160.7388199	Pt25Cu13
72	-160.7388199	Pt25Cu13
73	-160.7388199	Pt25Cu13
74	-160.7388199	Pt25Cu13
75	-160.7388199	Pt25Cu13
76	-160.7388199	Pt25Cu13
77	-160.7388199	Pt25Cu13
78	-160.7388199	Pt25Cu13
79	-160.7388199	Pt25Cu13
80	-160.7388199	Pt25Cu13
81	-160.7388199	Pt25Cu13
82	-160.7388199	Pt25Cu13
83	-160.7388199	Pt25Cu13
84	-160.7388199	Pt25Cu13
85	-160.7388199	Pt25Cu13
86	-160.7388199	Pt25Cu13
87	-160.7388199	Pt25Cu13
88	-160.7388199	Pt25Cu13
89	-160.7388199	Pt25Cu13
90	-160.7388199	Pt25Cu13
91	-160.7388199	Pt25Cu13
92	-160.7388199	Pt25Cu13
93	-160.7388199	Pt25Cu13
94	-160.7388199	Pt25Cu13
95	-160.7388199	Pt25Cu13
96	-160.7388199	Pt25Cu13
97	-160.7388199	Pt25Cu13
98	-160.7388199	Pt25Cu13
99	-160.7388199	Pt25Cu13
100	-160.7388199	Pt25Cu13
