# Generation	Energy	Composition
1	-148.7194902	Pt8Cu30
2	-148.7194902	Pt8Cu30
3	-148.7194902	Pt8Cu30
4	-148.7194902	Pt8Cu30
5	-148.7194902	Pt8Cu30
6	-148.7194902	Pt8Cu30
7	-148.7650469	Pt8Cu30
8	-148.7650469	Pt8Cu30
9	-148.7650469	Pt8Cu30
10	-148.7650469	Pt8Cu30
11	-148.7650469	Pt8Cu30
12	-148.7650469	Pt8Cu30
13	-148.9240652	Pt8Cu30
14	-148.9240652	Pt8Cu30
15	-148.9240652	Pt8Cu30
16	-148.9240652	Pt8Cu30
17	-148.9240652	Pt8Cu30
18	-148.9240652	Pt8Cu30
19	-148.9240652	Pt8Cu30
20	-148.9240652	Pt8Cu30
21	-148.9240652	Pt8Cu30
22	-148.9240652	Pt8Cu30
23	-148.9718673	Pt8Cu30
24	-148.9718673	Pt8Cu30
25	-148.9718673	Pt8Cu30
26	-148.9718673	Pt8Cu30
27	-148.9747909	Pt8Cu30
28	-148.9747909	Pt8Cu30
29	-148.9829337	Pt8Cu30
30	-149.0025782	Pt8Cu30
31	-149.0025782	Pt8Cu30
32	-149.0938399	Pt8Cu30
33	-149.0938399	Pt8Cu30
34	-149.0938399	Pt8Cu30
35	-149.0938399	Pt8Cu30
36	-149.121072	Pt8Cu30
37	-149.121072	Pt8Cu30
38	-149.121072	Pt8Cu30
39	-149.121072	Pt8Cu30
40	-149.121072	Pt8Cu30
41	-149.121072	Pt8Cu30
42	-149.1694107	Pt8Cu30
43	-149.1694107	Pt8Cu30
44	-149.1694107	Pt8Cu30
45	-149.1913577	Pt8Cu30
46	-149.2757714	Pt8Cu30
47	-149.2757714	Pt8Cu30
48	-149.2757714	Pt8Cu30
49	-149.2757714	Pt8Cu30
50	-149.2757714	Pt8Cu30
51	-149.2757714	Pt8Cu30
52	-149.2757714	Pt8Cu30
53	-149.2757714	Pt8Cu30
54	-149.2757714	Pt8Cu30
55	-149.2757714	Pt8Cu30
56	-149.2806894	Pt8Cu30
57	-149.2806894	Pt8Cu30
58	-149.3208997	Pt8Cu30
59	-149.3208997	Pt8Cu30
60	-149.3208997	Pt8Cu30
61	-149.3355056	Pt8Cu30
62	-149.3355057	Pt8Cu30
63	-149.3355057	Pt8Cu30
64	-149.3355057	Pt8Cu30
65	-149.3355057	Pt8Cu30
66	-149.3355057	Pt8Cu30
67	-149.3355057	Pt8Cu30
68	-149.3355057	Pt8Cu30
69	-149.3416075	Pt8Cu30
70	-149.3416075	Pt8Cu30
71	-149.3416075	Pt8Cu30
72	-149.3416075	Pt8Cu30
73	-149.3416075	Pt8Cu30
74	-149.3416075	Pt8Cu30
75	-149.3416075	Pt8Cu30
76	-149.3416075	Pt8Cu30
77	-149.3416075	Pt8Cu30
78	-149.3416075	Pt8Cu30
79	-149.3835005	Pt8Cu30
80	-149.3835005	Pt8Cu30
81	-149.3835005	Pt8Cu30
82	-149.388323	Pt8Cu30
83	-149.4166606	Pt8Cu30
84	-149.4166606	Pt8Cu30
85	-149.4166606	Pt8Cu30
86	-149.4166606	Pt8Cu30
87	-149.4166606	Pt8Cu30
88	-149.4166606	Pt8Cu30
89	-149.4166606	Pt8Cu30
90	-149.4166606	Pt8Cu30
91	-149.4166606	Pt8Cu30
92	-149.4166606	Pt8Cu30
93	-149.4173717	Pt8Cu30
94	-149.4173717	Pt8Cu30
95	-149.4173717	Pt8Cu30
96	-149.4173717	Pt8Cu30
97	-149.4173717	Pt8Cu30
98	-149.4173717	Pt8Cu30
99	-149.4173717	Pt8Cu30
100	-149.4252334	Pt8Cu30
