# Generation	Energy	Composition
1	-9205.811077	Pt8Cu30
2	-9236.146515	Pt8Cu30
3	-9236.146515	Pt8Cu30
4	-9236.146515	Pt8Cu30
5	-9236.146515	Pt8Cu30
6	-9248.442585	Pt8Cu30
7	-9248.442585	Pt8Cu30
8	-9248.442585	Pt8Cu30
9	-9248.442585	Pt8Cu30
10	-9248.442585	Pt8Cu30
11	-9248.442585	Pt8Cu30
12	-9248.442585	Pt8Cu30
13	-9249.33645	Pt8Cu30
14	-9249.33645	Pt8Cu30
15	-9249.33645	Pt8Cu30
16	-9249.33645	Pt8Cu30
17	-9249.33645	Pt8Cu30
18	-9249.33645	Pt8Cu30
19	-9257.572818	Pt8Cu30
20	-9263.266285	Pt8Cu30
21	-9263.266285	Pt8Cu30
22	-9263.266285	Pt8Cu30
23	-9265.214228	Pt8Cu30
24	-9265.214228	Pt8Cu30
25	-9265.214228	Pt8Cu30
26	-9265.214228	Pt8Cu30
27	-9265.214228	Pt8Cu30
28	-9265.214228	Pt8Cu30
29	-9265.214228	Pt8Cu30
30	-9265.214228	Pt8Cu30
31	-9265.319596	Pt8Cu30
32	-9265.319596	Pt8Cu30
33	-9265.319596	Pt8Cu30
34	-9265.319596	Pt8Cu30
35	-9265.319596	Pt8Cu30
36	-9271.337934	Pt8Cu30
37	-9271.337934	Pt8Cu30
38	-9271.337934	Pt8Cu30
39	-9272.685286	Pt8Cu30
40	-9272.685286	Pt8Cu30
41	-9272.685286	Pt8Cu30
42	-9272.685286	Pt8Cu30
43	-9272.685286	Pt8Cu30
44	-9272.685286	Pt8Cu30
45	-9272.685286	Pt8Cu30
46	-9272.685286	Pt8Cu30
47	-9272.685286	Pt8Cu30
48	-9272.685286	Pt8Cu30
49	-9272.685286	Pt8Cu30
50	-9272.685286	Pt8Cu30
51	-9272.685286	Pt8Cu30
52	-9272.685286	Pt8Cu30
53	-9272.685286	Pt8Cu30
54	-9272.685286	Pt8Cu30
55	-9272.685286	Pt8Cu30
56	-9272.685286	Pt8Cu30
57	-9272.685286	Pt8Cu30
58	-9272.685286	Pt8Cu30
59	-9272.685286	Pt8Cu30
60	-9280.764474	Pt8Cu30
61	-9280.764474	Pt8Cu30
62	-9280.764474	Pt8Cu30
63	-9280.764474	Pt8Cu30
64	-9280.764474	Pt8Cu30
65	-9280.764474	Pt8Cu30
66	-9280.764474	Pt8Cu30
67	-9280.764474	Pt8Cu30
68	-9280.764474	Pt8Cu30
69	-9280.764474	Pt8Cu30
70	-9280.764474	Pt8Cu30
71	-9280.764474	Pt8Cu30
72	-9280.764474	Pt8Cu30
73	-9280.764474	Pt8Cu30
74	-9280.764474	Pt8Cu30
75	-9280.764474	Pt8Cu30
76	-9280.764474	Pt8Cu30
77	-9280.764474	Pt8Cu30
78	-9280.764474	Pt8Cu30
79	-9280.764474	Pt8Cu30
80	-9280.764474	Pt8Cu30
81	-9280.764474	Pt8Cu30
82	-9280.764474	Pt8Cu30
83	-9280.764474	Pt8Cu30
84	-9280.764474	Pt8Cu30
85	-9280.764474	Pt8Cu30
86	-9280.764474	Pt8Cu30
87	-9280.764474	Pt8Cu30
88	-9280.764474	Pt8Cu30
89	-9280.764474	Pt8Cu30
90	-9280.764474	Pt8Cu30
91	-9280.764474	Pt8Cu30
92	-9280.764474	Pt8Cu30
93	-9280.764474	Pt8Cu30
94	-9280.764474	Pt8Cu30
95	-9280.764474	Pt8Cu30
96	-9280.764474	Pt8Cu30
97	-9280.764474	Pt8Cu30
98	-9280.764474	Pt8Cu30
99	-9280.764474	Pt8Cu30
100	-9280.764474	Pt8Cu30
