# Generation	Energy	Composition
1	-58.4368096	Pt10Cu3
2	-58.50665939	Pt10Cu3
3	-58.50665939	Pt10Cu3
4	-58.50665939	Pt10Cu3
5	-58.50665939	Pt10Cu3
6	-58.50665939	Pt10Cu3
7	-58.50665939	Pt10Cu3
8	-58.50665939	Pt10Cu3
9	-58.50665939	Pt10Cu3
10	-58.50665939	Pt10Cu3
11	-58.50665939	Pt10Cu3
12	-58.50665939	Pt10Cu3
13	-58.50665939	Pt10Cu3
14	-58.50665939	Pt10Cu3
15	-58.50665939	Pt10Cu3
16	-58.50665939	Pt10Cu3
17	-58.50665939	Pt10Cu3
18	-58.50665939	Pt10Cu3
19	-58.50665939	Pt10Cu3
20	-58.50665939	Pt10Cu3
21	-58.50665939	Pt10Cu3
22	-58.50665939	Pt10Cu3
23	-58.50665939	Pt10Cu3
24	-58.50665939	Pt10Cu3
25	-58.50665939	Pt10Cu3
26	-58.50665939	Pt10Cu3
27	-58.50665939	Pt10Cu3
28	-58.50665939	Pt10Cu3
29	-58.50665939	Pt10Cu3
30	-58.50665939	Pt10Cu3
31	-58.50665939	Pt10Cu3
32	-58.50665939	Pt10Cu3
33	-58.50665939	Pt10Cu3
34	-58.50665939	Pt10Cu3
35	-58.50665939	Pt10Cu3
36	-58.50665939	Pt10Cu3
37	-58.50665939	Pt10Cu3
38	-58.50665939	Pt10Cu3
39	-58.50665939	Pt10Cu3
40	-58.50665939	Pt10Cu3
41	-58.50665939	Pt10Cu3
42	-58.50665939	Pt10Cu3
43	-58.50665939	Pt10Cu3
44	-58.50665939	Pt10Cu3
45	-58.50665939	Pt10Cu3
46	-58.50665939	Pt10Cu3
47	-58.50665939	Pt10Cu3
48	-58.50665939	Pt10Cu3
49	-58.50665939	Pt10Cu3
50	-58.50665939	Pt10Cu3
51	-58.50665939	Pt10Cu3
52	-58.50665939	Pt10Cu3
53	-58.50665939	Pt10Cu3
54	-58.50665939	Pt10Cu3
55	-58.50665939	Pt10Cu3
56	-58.50665939	Pt10Cu3
57	-58.50665939	Pt10Cu3
58	-58.50665939	Pt10Cu3
59	-58.50665939	Pt10Cu3
60	-58.50665939	Pt10Cu3
61	-58.50665939	Pt10Cu3
62	-58.50665939	Pt10Cu3
63	-58.50665939	Pt10Cu3
64	-58.50665939	Pt10Cu3
65	-58.50665939	Pt10Cu3
66	-58.50665939	Pt10Cu3
67	-58.50665939	Pt10Cu3
68	-58.50665939	Pt10Cu3
69	-58.50665939	Pt10Cu3
70	-58.50665939	Pt10Cu3
71	-58.50665939	Pt10Cu3
72	-58.50665939	Pt10Cu3
73	-58.50665939	Pt10Cu3
74	-58.50665939	Pt10Cu3
75	-58.50665939	Pt10Cu3
76	-58.50665939	Pt10Cu3
77	-58.50665939	Pt10Cu3
78	-58.50665939	Pt10Cu3
79	-58.50665939	Pt10Cu3
80	-58.50665939	Pt10Cu3
81	-58.50665939	Pt10Cu3
82	-58.50665939	Pt10Cu3
83	-58.50665939	Pt10Cu3
84	-58.50665939	Pt10Cu3
85	-58.50665939	Pt10Cu3
86	-58.50665939	Pt10Cu3
87	-58.50665939	Pt10Cu3
88	-58.50665939	Pt10Cu3
89	-58.50665939	Pt10Cu3
90	-58.50665939	Pt10Cu3
91	-58.50665939	Pt10Cu3
92	-58.50665939	Pt10Cu3
93	-58.50665939	Pt10Cu3
94	-58.50665939	Pt10Cu3
95	-58.50665939	Pt10Cu3
96	-58.50665939	Pt10Cu3
97	-58.50665939	Pt10Cu3
98	-58.50665939	Pt10Cu3
99	-58.50665939	Pt10Cu3
100	-58.50665939	Pt10Cu3
