# Generation	Energy	Composition
1	-46.26429255	Pt4Cu9
2	-46.26429255	Pt4Cu9
3	-46.26429255	Pt4Cu9
4	-46.26429255	Pt4Cu9
5	-46.26429255	Pt4Cu9
6	-46.26429255	Pt4Cu9
7	-46.26429255	Pt4Cu9
8	-46.26429255	Pt4Cu9
9	-46.26429255	Pt4Cu9
10	-46.26429255	Pt4Cu9
11	-46.26429255	Pt4Cu9
12	-46.26429255	Pt4Cu9
13	-46.26429255	Pt4Cu9
14	-46.26429255	Pt4Cu9
15	-46.26429255	Pt4Cu9
16	-46.26429255	Pt4Cu9
17	-46.26429255	Pt4Cu9
18	-46.26429255	Pt4Cu9
19	-46.26429255	Pt4Cu9
20	-46.26429255	Pt4Cu9
21	-46.26429255	Pt4Cu9
22	-46.26429255	Pt4Cu9
23	-46.26429255	Pt4Cu9
24	-46.26429255	Pt4Cu9
25	-46.26429255	Pt4Cu9
26	-46.26429255	Pt4Cu9
27	-46.26429255	Pt4Cu9
28	-46.26429255	Pt4Cu9
29	-46.26429255	Pt4Cu9
30	-46.26429255	Pt4Cu9
31	-46.26429255	Pt4Cu9
32	-46.26429255	Pt4Cu9
33	-46.26429255	Pt4Cu9
34	-46.26429255	Pt4Cu9
35	-46.26429255	Pt4Cu9
36	-46.26429255	Pt4Cu9
37	-46.26429255	Pt4Cu9
38	-46.26429255	Pt4Cu9
39	-46.26429255	Pt4Cu9
40	-46.26429255	Pt4Cu9
41	-46.26429255	Pt4Cu9
42	-46.26429255	Pt4Cu9
43	-46.26429255	Pt4Cu9
44	-46.26429255	Pt4Cu9
45	-46.26429255	Pt4Cu9
46	-46.26429255	Pt4Cu9
47	-46.26429255	Pt4Cu9
48	-46.26429255	Pt4Cu9
49	-46.26429255	Pt4Cu9
50	-46.26429255	Pt4Cu9
51	-46.26429255	Pt4Cu9
52	-46.26429255	Pt4Cu9
53	-46.26429255	Pt4Cu9
54	-46.26429255	Pt4Cu9
55	-46.26429255	Pt4Cu9
56	-46.26429255	Pt4Cu9
57	-46.26429255	Pt4Cu9
58	-46.26429255	Pt4Cu9
59	-46.26429255	Pt4Cu9
60	-46.26429255	Pt4Cu9
61	-46.26429255	Pt4Cu9
62	-46.26429255	Pt4Cu9
63	-46.26429255	Pt4Cu9
64	-46.26429255	Pt4Cu9
65	-46.26429255	Pt4Cu9
66	-46.26429255	Pt4Cu9
67	-46.26429255	Pt4Cu9
68	-46.26429255	Pt4Cu9
69	-46.26429255	Pt4Cu9
70	-46.26429255	Pt4Cu9
71	-46.26429255	Pt4Cu9
72	-46.26429255	Pt4Cu9
73	-46.26429255	Pt4Cu9
74	-46.26429255	Pt4Cu9
75	-46.26429255	Pt4Cu9
76	-46.26429255	Pt4Cu9
77	-46.26429255	Pt4Cu9
78	-46.26429255	Pt4Cu9
79	-46.26429255	Pt4Cu9
80	-46.26429255	Pt4Cu9
81	-46.26429255	Pt4Cu9
82	-46.26429255	Pt4Cu9
83	-46.26429255	Pt4Cu9
84	-46.26429255	Pt4Cu9
85	-46.26429255	Pt4Cu9
86	-46.26429255	Pt4Cu9
87	-46.26429255	Pt4Cu9
88	-46.26429255	Pt4Cu9
89	-46.26429255	Pt4Cu9
90	-46.26429255	Pt4Cu9
91	-46.26429255	Pt4Cu9
92	-46.26429255	Pt4Cu9
93	-46.26429255	Pt4Cu9
94	-46.26429255	Pt4Cu9
95	-46.26429255	Pt4Cu9
96	-46.26429255	Pt4Cu9
97	-46.26429255	Pt4Cu9
98	-46.26429255	Pt4Cu9
99	-46.26429255	Pt4Cu9
100	-46.26429255	Pt4Cu9
