# Generation	Energy	Composition
1	-97.85245015	Pt23Cu0
2	-99.20924344	Pt23Cu0
3	-99.20924344	Pt23Cu0
4	-99.20924344	Pt23Cu0
5	-99.20924344	Pt23Cu0
6	-99.20924344	Pt23Cu0
7	-99.20924344	Pt23Cu0
8	-99.20924344	Pt23Cu0
9	-99.20924344	Pt23Cu0
10	-99.20924344	Pt23Cu0
11	-99.20924344	Pt23Cu0
12	-99.20924344	Pt23Cu0
13	-99.20924344	Pt23Cu0
14	-99.20924344	Pt23Cu0
15	-99.20924344	Pt23Cu0
16	-99.20924344	Pt23Cu0
17	-99.20924344	Pt23Cu0
18	-99.20924344	Pt23Cu0
19	-99.20924344	Pt23Cu0
20	-99.20924344	Pt23Cu0
21	-99.20924344	Pt23Cu0
22	-99.20924344	Pt23Cu0
23	-99.20924344	Pt23Cu0
24	-99.20924344	Pt23Cu0
25	-99.20924344	Pt23Cu0
26	-99.20924344	Pt23Cu0
27	-99.20924344	Pt23Cu0
28	-99.20924344	Pt23Cu0
29	-99.20924344	Pt23Cu0
30	-99.20924344	Pt23Cu0
31	-99.20924344	Pt23Cu0
32	-99.20924344	Pt23Cu0
33	-99.20924344	Pt23Cu0
34	-99.20924344	Pt23Cu0
35	-99.20924344	Pt23Cu0
36	-99.20924344	Pt23Cu0
37	-99.20924344	Pt23Cu0
38	-99.20924344	Pt23Cu0
39	-99.20924344	Pt23Cu0
40	-99.20924344	Pt23Cu0
41	-99.20924344	Pt23Cu0
42	-99.20924344	Pt23Cu0
43	-99.20924344	Pt23Cu0
44	-99.20924344	Pt23Cu0
45	-99.20924344	Pt23Cu0
46	-99.20924344	Pt23Cu0
47	-99.20924344	Pt23Cu0
48	-99.20924344	Pt23Cu0
49	-99.20924344	Pt23Cu0
50	-99.20924344	Pt23Cu0
51	-99.20924344	Pt23Cu0
52	-99.20924344	Pt23Cu0
53	-99.20924344	Pt23Cu0
54	-99.20924344	Pt23Cu0
55	-99.20924344	Pt23Cu0
56	-99.20924344	Pt23Cu0
57	-99.20924344	Pt23Cu0
58	-99.20924344	Pt23Cu0
59	-99.20924344	Pt23Cu0
60	-99.20924344	Pt23Cu0
61	-99.20924344	Pt23Cu0
62	-99.20924344	Pt23Cu0
63	-99.20924344	Pt23Cu0
64	-99.20924344	Pt23Cu0
65	-99.20924344	Pt23Cu0
66	-99.20924344	Pt23Cu0
67	-99.20924344	Pt23Cu0
68	-99.20924344	Pt23Cu0
69	-99.20924344	Pt23Cu0
70	-99.20924344	Pt23Cu0
71	-99.20924344	Pt23Cu0
72	-99.20924344	Pt23Cu0
73	-99.20924344	Pt23Cu0
74	-99.20924344	Pt23Cu0
75	-99.20924344	Pt23Cu0
76	-99.20924344	Pt23Cu0
77	-99.20924344	Pt23Cu0
78	-99.20924344	Pt23Cu0
79	-99.20924344	Pt23Cu0
80	-99.20924344	Pt23Cu0
81	-99.20924344	Pt23Cu0
82	-99.20924344	Pt23Cu0
83	-99.20924344	Pt23Cu0
84	-99.20924344	Pt23Cu0
85	-99.20924344	Pt23Cu0
86	-99.20924344	Pt23Cu0
87	-99.20924344	Pt23Cu0
88	-99.20924344	Pt23Cu0
89	-99.20924344	Pt23Cu0
90	-99.20924344	Pt23Cu0
91	-99.20924344	Pt23Cu0
92	-99.20924344	Pt23Cu0
93	-99.20924344	Pt23Cu0
94	-99.20924344	Pt23Cu0
95	-99.20924344	Pt23Cu0
96	-99.20924344	Pt23Cu0
97	-99.20924344	Pt23Cu0
98	-99.20924344	Pt23Cu0
99	-99.20924344	Pt23Cu0
100	-99.20924344	Pt23Cu0
